delivery_date,block_start,block_hour,clearing_price_eur_mw_week,demand_mw,surplus_mw
2024-01-01,2024-01-01 00:00:00,0,114.8,564,34
2024-01-01,2024-01-01 04:00:00,4,104.4,564,33
2024-01-01,2024-01-01 08:00:00,8,68.8,564,46
2024-01-01,2024-01-01 12:00:00,12,77.6,564,42
2024-01-01,2024-01-01 16:00:00,16,72.4,564,50
2024-01-01,2024-01-01 20:00:00,20,79.96,564,55
2024-01-02,2024-01-02 00:00:00,0,94.0,564,58
2024-01-02,2024-01-02 04:00:00,4,98.0,564,59
2024-01-02,2024-01-02 08:00:00,8,67.03,564,21
2024-01-02,2024-01-02 12:00:00,12,59.21,564,31
2024-01-02,2024-01-02 16:00:00,16,60.0,564,11
2024-01-02,2024-01-02 20:00:00,20,57.04,564,30
2024-01-03,2024-01-03 00:00:00,0,94.4,564,54
2024-01-03,2024-01-03 04:00:00,4,87.7,564,59
2024-01-03,2024-01-03 08:00:00,8,56.4,564,2
2024-01-03,2024-01-03 12:00:00,12,60.0,564,0
2024-01-03,2024-01-03 16:00:00,16,67.4,564,-17
2024-01-03,2024-01-03 20:00:00,20,55.6,564,59
2024-01-04,2024-01-04 00:00:00,0,135.6,564,66
2024-01-04,2024-01-04 04:00:00,4,107.6,564,82
2024-01-04,2024-01-04 08:00:00,8,56.17,564,86
2024-01-04,2024-01-04 12:00:00,12,54.0,564,70
2024-01-04,2024-01-04 16:00:00,16,56.0,564,12
2024-01-04,2024-01-04 20:00:00,20,49.6,564,92
2024-01-05,2024-01-05 00:00:00,0,81.4,564,85
2024-01-05,2024-01-05 04:00:00,4,65.2,564,85
2024-01-05,2024-01-05 08:00:00,8,50.04,564,72
2024-01-05,2024-01-05 12:00:00,12,42.8,564,95
2024-01-05,2024-01-05 16:00:00,16,54.4,564,66
2024-01-05,2024-01-05 20:00:00,20,40.4,564,95
2024-01-06,2024-01-06 00:00:00,0,69.62,564,65
2024-01-06,2024-01-06 04:00:00,4,56.04,564,64
2024-01-06,2024-01-06 08:00:00,8,38.4,564,104
2024-01-06,2024-01-06 12:00:00,12,36.35,564,121
2024-01-06,2024-01-06 16:00:00,16,41.13,564,60
2024-01-06,2024-01-06 20:00:00,20,37.6,564,91
2024-01-07,2024-01-07 00:00:00,0,54.95,564,73
2024-01-07,2024-01-07 04:00:00,4,58.0,564,75
2024-01-07,2024-01-07 08:00:00,8,38.86,564,88
2024-01-07,2024-01-07 12:00:00,12,34.12,564,92
2024-01-07,2024-01-07 16:00:00,16,43.54,564,76
2024-01-07,2024-01-07 20:00:00,20,35.6,564,104
2024-01-08,2024-01-08 00:00:00,0,50.3,564,83
2024-01-08,2024-01-08 04:00:00,4,67.2,564,88
2024-01-08,2024-01-08 08:00:00,8,40.5,564,105
2024-01-08,2024-01-08 12:00:00,12,37.02,564,127
2024-01-08,2024-01-08 16:00:00,16,40.0,564,44
2024-01-08,2024-01-08 20:00:00,20,34.38,564,122
2024-01-09,2024-01-09 00:00:00,0,40.5,564,85
2024-01-09,2024-01-09 04:00:00,4,46.19,564,87
2024-01-09,2024-01-09 08:00:00,8,36.28,564,66
2024-01-09,2024-01-09 12:00:00,12,33.2,564,66
2024-01-09,2024-01-09 16:00:00,16,52.91,564,26
2024-01-09,2024-01-09 20:00:00,20,34.0,564,77
2024-01-10,2024-01-10 00:00:00,0,37.0,564,77
2024-01-10,2024-01-10 04:00:00,4,54.64,564,19
2024-01-10,2024-01-10 08:00:00,8,55.52,564,1
2024-01-10,2024-01-10 12:00:00,12,38.52,564,13
2024-01-10,2024-01-10 16:00:00,16,56.8,564,-10
2024-01-10,2024-01-10 20:00:00,20,29.12,564,48
2024-01-11,2024-01-11 00:00:00,0,32.8,564,68
2024-01-11,2024-01-11 04:00:00,4,36.79,564,43
2024-01-11,2024-01-11 08:00:00,8,35.14,564,42
2024-01-11,2024-01-11 12:00:00,12,28.0,564,23
2024-01-11,2024-01-11 16:00:00,16,55.2,564,-7
2024-01-11,2024-01-11 20:00:00,20,27.2,564,51
2024-01-12,2024-01-12 00:00:00,0,26.79,564,31
2024-01-12,2024-01-12 04:00:00,4,33.2,564,23
2024-01-12,2024-01-12 08:00:00,8,39.64,564,21
2024-01-12,2024-01-12 12:00:00,12,25.83,564,-4
2024-01-12,2024-01-12 16:00:00,16,54.29,564,-19
2024-01-12,2024-01-12 20:00:00,20,25.6,564,23
2024-01-13,2024-01-13 00:00:00,0,41.8,564,11
2024-01-13,2024-01-13 04:00:00,4,44.1,564,11
2024-01-13,2024-01-13 08:00:00,8,35.31,564,-23
2024-01-13,2024-01-13 12:00:00,12,40.04,564,8
2024-01-13,2024-01-13 16:00:00,16,34.3,564,-23
2024-01-13,2024-01-13 20:00:00,20,34.37,564,-9
2024-01-14,2024-01-14 00:00:00,0,29.47,564,54
2024-01-14,2024-01-14 04:00:00,4,31.66,564,54
2024-01-14,2024-01-14 08:00:00,8,36.0,564,16
2024-01-14,2024-01-14 12:00:00,12,27.2,564,47
2024-01-14,2024-01-14 16:00:00,16,31.66,564,5
2024-01-14,2024-01-14 20:00:00,20,30.68,564,38
2024-01-15,2024-01-15 00:00:00,0,36.4,564,54
2024-01-15,2024-01-15 04:00:00,4,33.01,564,54
2024-01-15,2024-01-15 08:00:00,8,32.03,564,-10
2024-01-15,2024-01-15 12:00:00,12,27.14,564,23
2024-01-15,2024-01-15 16:00:00,16,37.5,564,-40
2024-01-15,2024-01-15 20:00:00,20,27.16,564,47
2024-01-16,2024-01-16 00:00:00,0,35.23,564,51
2024-01-16,2024-01-16 04:00:00,4,34.81,564,36
2024-01-16,2024-01-16 08:00:00,8,36.65,564,55
2024-01-16,2024-01-16 12:00:00,12,29.14,564,16
2024-01-16,2024-01-16 16:00:00,16,41.43,564,-15
2024-01-16,2024-01-16 20:00:00,20,24.68,564,54
2024-01-17,2024-01-17 00:00:00,0,29.05,564,63
2024-01-17,2024-01-17 04:00:00,4,39.87,564,47
2024-01-17,2024-01-17 08:00:00,8,34.27,564,27
2024-01-17,2024-01-17 12:00:00,12,25.92,564,30
2024-01-17,2024-01-17 16:00:00,16,44.53,564,4
2024-01-17,2024-01-17 20:00:00,20,23.97,564,48
2024-01-18,2024-01-18 00:00:00,0,27.33,564,36
2024-01-18,2024-01-18 04:00:00,4,30.53,564,65
2024-01-18,2024-01-18 08:00:00,8,31.86,564,-36
2024-01-18,2024-01-18 12:00:00,12,22.7,564,-28
2024-01-18,2024-01-18 16:00:00,16,48.2,564,-105
2024-01-18,2024-01-18 20:00:00,20,24.55,564,24
2024-01-19,2024-01-19 00:00:00,0,30.08,564,83
2024-01-19,2024-01-19 04:00:00,4,38.0,564,69
2024-01-19,2024-01-19 08:00:00,8,40.0,564,53
2024-01-19,2024-01-19 12:00:00,12,24.8,564,51
2024-01-19,2024-01-19 16:00:00,16,45.91,564,-71
2024-01-19,2024-01-19 20:00:00,20,24.03,564,30
2024-01-20,2024-01-20 00:00:00,0,32.0,564,73
2024-01-20,2024-01-20 04:00:00,4,31.09,564,25
2024-01-20,2024-01-20 08:00:00,8,26.0,564,10
2024-01-20,2024-01-20 12:00:00,12,25.38,564,59
2024-01-20,2024-01-20 16:00:00,16,26.24,564,8
2024-01-20,2024-01-20 20:00:00,20,27.82,564,36
2024-01-21,2024-01-21 00:00:00,0,39.66,564,53
2024-01-21,2024-01-21 04:00:00,4,38.83,564,43
2024-01-21,2024-01-21 08:00:00,8,37.75,564,39
2024-01-21,2024-01-21 12:00:00,12,31.9,564,50
2024-01-21,2024-01-21 16:00:00,16,34.08,564,-16
2024-01-21,2024-01-21 20:00:00,20,29.66,564,21
2024-01-22,2024-01-22 00:00:00,0,39.81,564,49
2024-01-22,2024-01-22 04:00:00,4,40.39,564,20
2024-01-22,2024-01-22 08:00:00,8,37.66,564,-10
2024-01-22,2024-01-22 12:00:00,12,32.15,564,-24
2024-01-22,2024-01-22 16:00:00,16,43.44,564,-66
2024-01-22,2024-01-22 20:00:00,20,31.39,564,24
2024-01-23,2024-01-23 00:00:00,0,50.0,564,49
2024-01-23,2024-01-23 04:00:00,4,52.93,564,41
2024-01-23,2024-01-23 08:00:00,8,37.66,564,-5
2024-01-23,2024-01-23 12:00:00,12,35.95,564,9
2024-01-23,2024-01-23 16:00:00,16,39.29,564,-36
2024-01-23,2024-01-23 20:00:00,20,37.15,564,70
2024-01-24,2024-01-24 00:00:00,0,59.66,564,9
2024-01-24,2024-01-24 04:00:00,4,53.92,564,28
2024-01-24,2024-01-24 08:00:00,8,39.56,564,61
2024-01-24,2024-01-24 12:00:00,12,37.71,564,73
2024-01-24,2024-01-24 16:00:00,16,46.19,564,20
2024-01-24,2024-01-24 20:00:00,20,40.0,564,80
2024-01-25,2024-01-25 00:00:00,0,86.3,564,73
2024-01-25,2024-01-25 04:00:00,4,65.6,564,41
2024-01-25,2024-01-25 08:00:00,8,32.03,564,21
2024-01-25,2024-01-25 12:00:00,12,31.88,564,73
2024-01-25,2024-01-25 16:00:00,16,41.31,564,33
2024-01-25,2024-01-25 20:00:00,20,30.36,564,73
2024-01-26,2024-01-26 00:00:00,0,58.99,564,53
2024-01-26,2024-01-26 04:00:00,4,48.71,564,48
2024-01-26,2024-01-26 08:00:00,8,35.45,564,28
2024-01-26,2024-01-26 12:00:00,12,34.52,564,66
2024-01-26,2024-01-26 16:00:00,16,46.21,564,-42
2024-01-26,2024-01-26 20:00:00,20,35.15,564,70
2024-01-27,2024-01-27 00:00:00,0,54.11,564,97
2024-01-27,2024-01-27 04:00:00,4,47.27,564,95
2024-01-27,2024-01-27 08:00:00,8,44.0,564,106
2024-01-27,2024-01-27 12:00:00,12,35.13,564,88
2024-01-27,2024-01-27 16:00:00,16,34.51,564,26
2024-01-27,2024-01-27 20:00:00,20,34.0,564,109
2024-01-28,2024-01-28 00:00:00,0,48.49,564,98
2024-01-28,2024-01-28 04:00:00,4,40.45,564,93
2024-01-28,2024-01-28 08:00:00,8,36.03,564,119
2024-01-28,2024-01-28 12:00:00,12,46.86,564,110
2024-01-28,2024-01-28 16:00:00,16,38.88,564,85
2024-01-28,2024-01-28 20:00:00,20,32.14,564,115
2024-01-29,2024-01-29 00:00:00,0,41.07,564,76
2024-01-29,2024-01-29 04:00:00,4,48.0,564,26
2024-01-29,2024-01-29 08:00:00,8,31.04,564,-25
2024-01-29,2024-01-29 12:00:00,12,29.33,564,-31
2024-01-29,2024-01-29 16:00:00,16,37.99,564,-25
2024-01-29,2024-01-29 20:00:00,20,24.56,564,30
2024-01-30,2024-01-30 00:00:00,0,35.67,564,52
2024-01-30,2024-01-30 04:00:00,4,39.25,564,6
2024-01-30,2024-01-30 08:00:00,8,33.59,564,4
2024-01-30,2024-01-30 12:00:00,12,29.81,564,-20
2024-01-30,2024-01-30 16:00:00,16,40.36,564,-65
2024-01-30,2024-01-30 20:00:00,20,24.0,564,49
2024-01-31,2024-01-31 00:00:00,0,33.0,564,65
2024-01-31,2024-01-31 04:00:00,4,36.02,564,51
2024-01-31,2024-01-31 08:00:00,8,31.86,564,11
2024-01-31,2024-01-31 12:00:00,12,30.74,564,10
2024-01-31,2024-01-31 16:00:00,16,27.0,564,-14
2024-01-31,2024-01-31 20:00:00,20,26.19,564,54
2024-02-01,2024-02-01 00:00:00,0,31.68,564,65
2024-02-01,2024-02-01 04:00:00,4,33.72,564,77
2024-02-01,2024-02-01 08:00:00,8,28.34,564,43
