date,grid_load_mwh,residual_load_mwh
2024-01-01,1021080.0,206270.5
2024-01-02,1271127.25,453076.5
2024-01-03,1354050.5,322281.75
2024-01-04,1381903.5,757597.5
2024-01-05,1366758.25,774693.75
2024-01-06,1248272.0,843078.0
2024-01-07,1229167.5,789019.0
2024-01-08,1500717.75,932164.25
2024-01-09,1535753.0,1170379.25
2024-01-10,1537874.0,1306547.0
2024-01-11,1553537.5,1346653.25
2024-01-12,1537871.75,1288870.75
2024-01-13,1386131.25,753798.75
2024-01-14,1303766.5,585383.25
2024-01-15,1570357.0,840501.25
2024-01-16,1555490.5,1100106.75
2024-01-17,1594771.5,1222602.0
2024-01-18,1565016.25,1278879.0
2024-01-19,1589958.5,837661.75
2024-01-20,1390531.75,603817.25
2024-01-21,1317760.25,374277.25
2024-01-22,1538080.75,436115.25
2024-01-23,1540014.5,479468.5
2024-01-24,1504781.0,339623.5
2024-01-25,1469992.0,774780.25
2024-01-26,1454436.75,600156.5
2024-01-27,1279784.75,607843.5
2024-01-28,1138178.5,523892.0
2024-01-29,1397396.5,840159.5
2024-01-30,1445950.25,836989.5
2024-01-31,1514986.75,859720.25
2024-02-01,1507569.75,677834.25
2024-02-02,1484117.25,563051.25
2024-02-03,1294613.5,281232.5
2024-02-04,1227674.5,146310.75
2024-02-05,1445726.0,246821.5
2024-02-06,1493298.25,267849.25
2024-02-07,1496148.25,825638.75
2024-02-08,1466770.5,1149775.75
2024-02-09,1450209.5,758585.75
2024-02-10,1221815.0,832818.75
2024-02-11,1161706.75,683761.75
2024-02-12,1375301.25,984886.25
2024-02-13,1437377.75,817505.75
2024-02-14,1425812.5,863698.25
2024-02-15,1399301.25,916412.0
2024-02-16,1403246.25,728444.75
2024-02-17,1207079.0,802863.75
2024-02-18,1145994.0,527427.0
2024-02-19,1414850.25,669596.0
2024-02-20,1440520.75,784064.0
2024-02-21,1458503.25,674420.25
2024-02-22,1456507.0,620135.75
2024-02-23,1445184.75,567304.25
2024-02-24,1220587.5,661791.5
2024-02-25,1158855.75,671186.0
2024-02-26,1399382.0,973809.75
2024-02-27,1429045.75,1190123.0
2024-02-28,1436330.25,1181705.25
2024-02-29,1453382.5,782121.25
2024-03-01,1399353.5,916343.25
2024-03-02,1185000.5,635843.0
2024-03-03,1112723.5,566631.0
2024-03-04,1411423.25,1125866.75
2024-03-05,1464541.5,1079938.75
2024-03-06,1431877.75,1162557.0
2024-03-07,1423678.0,977873.25
2024-03-08,1379269.25,533499.25
2024-03-09,1221117.25,361144.25
2024-03-10,1171143.25,325153.5
2024-03-11,1405393.5,807425.0
2024-03-12,1412513.25,1177794.0
2024-03-13,1423990.0,1038467.0
2024-03-14,1398288.5,832317.0
2024-03-15,1382702.75,591030.25
2024-03-16,1217161.75,449333.25
2024-03-17,1102700.75,676841.5
2024-03-18,1369294.75,968893.0
2024-03-19,1387820.75,998313.0
2024-03-20,1355589.25,1081468.25
2024-03-21,1368859.0,909224.5
2024-03-22,1368782.75,748196.25
2024-03-23,1183285.25,458269.0
2024-03-24,1136911.0,208826.0
2024-03-25,1322880.75,814065.75
2024-03-26,1376795.75,709147.25
2024-03-27,1368202.5,908524.5
2024-03-28,1352206.0,586935.0
2024-03-29,1122028.25,412707.25
2024-03-30,1072349.5,644194.25
2024-03-31,864718.0,524394.5
2024-04-01,1041487.0,568124.5
2024-04-02,1326668.5,333119.0
2024-04-03,1349412.75,846147.0
2024-04-04,1355950.0,509662.25
2024-04-05,1321410.0,450324.0
2024-04-06,1113232.5,362204.5
2024-04-07,1043015.0,358301.75
2024-04-08,1265132.5,839050.25
2024-04-09,1339949.5,596776.75
2024-04-10,1349295.5,727130.75
2024-04-11,1359908.75,686307.5
2024-04-12,1320189.0,666249.5
2024-04-13,1105669.0,366972.75
2024-04-14,1056624.0,289459.0
2024-04-15,1288905.75,648761.5
2024-04-16,1368465.5,600494.25
2024-04-17,1347067.5,1008026.5
2024-04-18,1352113.5,918419.75
2024-04-19,1366390.75,495687.25
2024-04-20,1150676.25,570207.0
2024-04-21,1090198.75,586588.75
2024-04-22,1329936.75,940023.5
2024-04-23,1362938.75,937301.5
2024-04-24,1374619.75,882016.0
2024-04-25,1359405.75,946744.5
2024-04-26,1317475.0,854733.5
2024-04-27,1104069.0,568648.25
2024-04-28,1055036.75,297017.75
2024-04-29,1249768.25,740939.75
2024-04-30,1265943.5,650703.0
2024-05-01,977648.5,208201.75
2024-05-02,1248289.25,346306.75
2024-05-03,1287554.25,712478.75
2024-05-04,1079405.5,722631.25
2024-05-05,1031532.75,443658.25
2024-05-06,1289584.25,939191.5
2024-05-07,1316889.75,1001717.25
2024-05-08,1278744.25,956360.0
2024-05-09,1016763.5,609013.75
2024-05-10,1097757.5,689605.0
2024-05-11,1016886.75,555956.5
2024-05-12,973127.25,314309.75
2024-05-13,1260027.5,483888.75
2024-05-14,1293651.25,386166.0
2024-05-15,1287045.75,456144.25
2024-05-16,1310088.0,549816.5
2024-05-17,1278607.5,598227.5
2024-05-18,1073761.5,629396.0
2024-05-19,955874.5,573733.0
2024-05-20,964388.5,507284.0
2024-05-21,1261562.25,615911.75
2024-05-22,1307173.75,740425.5
2024-05-23,1235897.25,786692.25
2024-05-24,1212960.75,852446.0
2024-05-25,992192.75,601331.0
2024-05-26,972830.25,520477.5
2024-05-27,1209857.75,800691.25
2024-05-28,1208772.5,765208.0
2024-05-29,1279524.0,664121.5
2024-05-30,1097436.0,767553.0
2024-05-31,1167677.5,803708.5
2024-06-01,1072784.75,558734.75
2024-06-02,1037858.25,422231.75
2024-06-03,1261541.5,879714.0
2024-06-04,1253161.0,822238.25
2024-06-05,1290514.0,649243.75
2024-06-06,1254607.5,715016.75
2024-06-07,1223695.0,729069.5
2024-06-08,1041593.75,394944.75
2024-06-09,984087.75,352774.5
2024-06-10,1238770.25,661055.0
2024-06-11,1288722.0,494750.75
2024-06-12,1297178.25,672108.5
2024-06-13,1265399.25,792194.0
2024-06-14,1258817.75,712387.5
2024-06-15,1049889.25,285345.0
2024-06-16,999384.0,363825.25
2024-06-17,1248698.0,798979.5
2024-06-18,1280398.25,892907.0
2024-06-19,1293133.75,878621.5
2024-06-20,1278746.25,890155.0
2024-06-21,1261185.0,896642.5
2024-06-22,1080581.75,424268.5
2024-06-23,996102.25,555016.25
2024-06-24,1219620.75,767087.75
2024-06-25,1257934.75,665224.5
2024-06-26,1281116.25,755874.75
2024-06-27,1309375.75,851920.25
2024-06-28,1269305.5,601429.25
2024-06-29,1060522.25,585463.25
2024-06-30,1049916.5,575895.25
2024-07-01,1255238.75,795361.5
2024-07-02,1305262.75,781102.0
2024-07-03,1301699.75,866645.0
2024-07-04,1315871.5,486264.25
2024-07-05,1259627.0,475727.0
2024-07-06,1086331.25,266166.0
2024-07-07,983059.25,372018.75
2024-07-08,1213182.25,730986.75
2024-07-09,1274278.0,629437.75
2024-07-10,1323157.0,843687.25
2024-07-11,1275838.75,862478.25
2024-07-12,1259328.5,755088.75
2024-07-13,1067131.25,431569.5
2024-07-14,989230.75,409842.5
2024-07-15,1216637.75,658780.75
2024-07-16,1268339.5,584444.75
2024-07-17,1274574.0,660907.25
2024-07-18,1264553.5,837676.25
2024-07-19,1228499.25,795099.25
2024-07-20,1065072.25,537198.25
2024-07-21,1005621.5,531107.5
2024-07-22,1249415.25,714192.25
2024-07-23,1250083.0,757768.0
2024-07-24,1239784.0,705539.75
2024-07-25,1222179.25,769094.25
2024-07-26,1226108.0,818656.25
2024-07-27,1047631.75,790962.75
2024-07-28,975491.25,452085.75
2024-07-29,1138319.0,628978.25
2024-07-30,1176721.75,729252.0
2024-07-31,1215445.0,824724.0
2024-08-01,1281153.5,919854.25
2024-08-02,1222347.75,903605.25
2024-08-03,1041826.75,668692.75
2024-08-04,1003191.25,519764.25
2024-08-05,1210206.75,828101.5
2024-08-06,1230951.0,778279.25
2024-08-07,1265740.0,868462.25
2024-08-08,1249067.25,873842.25
2024-08-09,1250240.0,495022.0
2024-08-10,1060111.0,439726.5
2024-08-11,992690.25,517294.75
2024-08-12,1234082.5,720885.0
2024-08-13,1300394.75,685592.75
2024-08-14,1295530.75,867962.0
2024-08-15,1241758.75,808779.25
2024-08-16,1230733.0,752321.0
2024-08-17,1058836.25,766352.25
2024-08-18,1000247.5,756205.75
2024-08-19,1201470.25,860392.75
2024-08-20,1251541.5,760458.5
2024-08-21,1274875.5,491672.25
2024-08-22,1245999.5,527235.0
2024-08-23,1268705.75,356684.25
2024-08-24,1085988.0,378385.25
2024-08-25,1004808.0,353288.25
2024-08-26,1226284.0,743800.5
2024-08-27,1247752.0,771623.5
2024-08-28,1291307.25,719770.75
2024-08-29,1314414.25,826086.75
2024-08-30,1280762.0,892276.5
2024-08-31,1058827.0,517684.0
