date,total_generation_mwh,renewable_generation_mwh,renewable_share_pct,wind_total_mwh,solar_mwh,wind_share_pct,solar_share_pct,wind_offshore_mwh,wind_onshore_mwh
2024-01-01,1223594.0,963566.75,78.75,776791.5,38018.0,63.48,3.11,101283.75,675507.75
2024-01-02,1313537.5,969722.25,73.83,807348.5,10702.25,61.46,0.81,114717.5,692631.0
2024-01-03,1511829.0,1180260.5,78.07,999504.0,32264.75,66.11,2.13,96273.0,903231.0
2024-01-04,1297474.75,775711.25,59.79,597949.25,26356.75,46.09,2.03,65056.0,532893.25
2024-01-05,1338345.5,744858.25,55.66,566443.5,25621.0,42.32,1.91,131692.0,434751.5
2024-01-06,1152315.25,558304.0,48.45,391952.5,13241.5,34.01,1.15,138591.5,253361.0
2024-01-07,1179447.0,595256.75,50.47,423815.0,16333.5,35.93,1.38,97026.75,326788.25
2024-01-08,1494141.75,724353.5,48.48,527424.25,41129.25,35.3,2.75,118657.5,408766.75
2024-01-09,1465104.0,527104.5,35.98,289784.0,75589.75,19.78,5.16,25245.25,264538.75
2024-01-10,1453081.25,397578.0,27.36,160715.0,70612.0,11.06,4.86,20518.5,140196.5
2024-01-11,1442335.25,372983.25,25.86,141683.25,65201.0,9.82,4.52,39570.0,102113.25
2024-01-12,1448345.0,413385.25,28.54,227989.5,21011.5,15.74,1.45,94183.75,133805.75
2024-01-13,1502265.5,789430.25,52.55,619036.0,13296.5,41.21,0.89,109356.75,509679.25
2024-01-14,1507819.75,870160.25,57.71,683846.5,34536.75,45.35,2.29,126165.25,557681.25
2024-01-15,1676977.5,883812.5,52.7,707204.25,22651.5,42.17,1.35,119156.75,588047.5
2024-01-16,1581410.5,609728.0,38.56,421632.0,33751.75,26.66,2.13,88122.25,333509.75
2024-01-17,1504903.75,529636.75,35.19,357697.5,14472.0,23.77,0.96,80568.75,277128.75
2024-01-18,1399657.5,447133.25,31.95,262654.5,23482.75,18.77,1.68,85199.75,177454.75
2024-01-19,1692385.0,908253.25,53.67,719854.25,32442.5,42.53,1.92,125813.0,594041.25
2024-01-20,1541544.0,940433.0,61.01,725466.75,61247.75,47.06,3.97,126359.75,599107.0
2024-01-21,1507432.5,1093153.5,72.52,900312.75,43170.25,59.72,2.86,126755.5,773557.25
2024-01-22,1702601.5,1250751.75,73.46,1079052.5,22913.0,63.38,1.35,92094.5,986958.0
2024-01-23,1706127.5,1210619.25,70.96,1006257.75,54288.25,58.98,3.18,110019.0,896238.75
2024-01-24,1748390.75,1312531.5,75.07,1124780.5,40377.0,64.33,2.31,95576.0,1029204.5
2024-01-25,1451140.5,852444.25,58.74,629713.0,65498.75,43.39,4.51,77143.5,552569.5
2024-01-26,1512653.5,1010533.75,66.81,829543.0,24737.25,54.84,1.64,109749.25,719793.75
2024-01-27,1297787.75,830491.0,63.99,548417.0,123524.25,42.26,9.52,115413.0,433004.0
2024-01-28,1169135.25,770255.5,65.88,472070.25,142216.25,40.38,12.16,108454.5,363615.75
2024-01-29,1362202.75,718352.5,52.73,433164.0,124073.0,31.8,9.11,72062.5,361101.5
2024-01-30,1394045.0,770376.25,55.26,532545.25,76415.5,38.2,5.48,107775.0,424770.25
2024-01-31,1441745.0,816013.75,56.6,610638.75,44627.75,42.35,3.1,118063.25,492575.5
2024-02-01,1571880.25,989516.25,62.95,762534.0,67201.5,48.51,4.28,92091.25,670442.75
2024-02-02,1558745.75,1080197.0,69.3,872135.75,48930.25,55.95,3.14,124865.5,747270.25
2024-02-03,1542778.75,1166178.5,75.59,961493.75,51887.25,62.32,3.36,128853.75,832640.0
2024-02-04,1561632.5,1229910.25,78.76,1045564.75,35799.0,66.95,2.29,135560.0,910004.75
2024-02-05,1777305.0,1348091.75,75.85,1116030.0,82874.5,62.79,4.66,110290.5,1005739.5
2024-02-06,1791397.5,1374064.25,76.7,1180615.5,44833.5,65.9,2.5,120142.0,1060473.5
2024-02-07,1490661.75,825258.75,55.36,624897.75,45611.75,41.92,3.06,103359.5,521538.25
2024-02-08,1324106.5,474501.5,35.84,277458.0,39536.75,20.95,2.99,47381.75,230076.25
2024-02-09,1413727.5,844960.75,59.77,654346.0,37277.75,46.29,2.64,142651.25,511694.75
2024-02-10,1081939.25,541036.5,50.01,318300.0,70696.25,29.42,6.53,103775.5,214524.5
2024-02-11,1098090.25,627497.25,57.14,447680.75,30264.25,40.77,2.76,132111.0,315569.75
2024-02-12,1217352.5,546420.75,44.89,336432.5,53982.5,27.64,4.43,52256.75,284175.75
2024-02-13,1402507.5,774659.25,55.23,499326.75,120545.25,35.6,8.59,123083.25,376243.5
2024-02-14,1355571.0,714313.0,52.69,509092.75,53021.5,37.56,3.91,58239.0,450853.75
2024-02-15,1292818.5,634407.0,49.07,396546.0,86343.25,30.67,6.68,100754.5,295791.5
2024-02-16,1364447.25,825225.25,60.48,589564.5,85237.0,43.21,6.25,122944.75,466619.75
2024-02-17,1099874.0,555018.25,50.46,324066.0,80149.25,29.46,7.29,53297.75,270768.25
2024-02-18,1158359.25,768525.0,66.35,528240.5,90326.5,45.6,7.8,119964.25,408276.25
2024-02-19,1416895.75,899118.25,63.46,689635.25,55619.0,48.67,3.93,108324.25,581311.0
2024-02-20,1379388.0,817227.25,59.25,567952.5,88504.25,41.17,6.42,109762.75,458189.75
2024-02-21,1447905.5,943268.25,65.15,677789.5,106293.5,46.81,7.34,110761.75,567027.75
2024-02-22,1453955.5,994737.0,68.42,792705.25,43666.0,54.52,3.0,103713.0,688992.25
2024-02-23,1529476.5,1036864.5,67.79,793422.0,84458.5,51.88,5.52,93163.5,700258.5
2024-02-24,1168434.75,718837.0,61.52,417482.0,141314.0,35.73,12.09,66134.25,351347.75
2024-02-25,1109507.0,645379.5,58.17,333032.25,154637.5,30.02,13.94,30361.5,302670.75
2024-02-26,1187665.0,582780.0,49.07,324613.5,100958.75,27.33,8.5,63064.75,261548.75
2024-02-27,1194823.75,398375.75,33.34,159213.0,79709.75,13.33,6.67,17303.25,141909.75
2024-02-28,1216999.0,412655.0,33.91,153749.75,100875.25,12.63,8.29,69319.0,84430.75
2024-02-29,1403227.75,826452.25,58.9,514910.0,156351.25,36.69,11.14,136877.25,378032.75
2024-03-01,1224027.75,639166.25,52.22,390460.0,92550.25,31.9,7.56,110530.25,279929.75
2024-03-02,1164464.25,702530.75,60.33,384398.0,164759.5,33.01,14.15,100085.25,284312.75
2024-03-03,1153254.75,696543.75,60.4,360709.25,185383.25,31.28,16.07,102482.0,258227.25
2024-03-04,1225171.0,438960.0,35.83,192349.25,93207.25,15.7,7.61,50181.25,142168.0
2024-03-05,1389385.0,537095.25,38.66,317368.5,67234.25,22.84,4.84,122404.0,194964.5
2024-03-06,1302446.25,423060.0,32.48,155036.5,114284.25,11.9,8.77,65361.25,89675.25
2024-03-07,1324525.75,601823.25,45.44,314671.25,131133.5,23.76,9.9,61771.5,252899.75
2024-03-08,1459051.0,1000934.25,68.6,598414.0,247356.0,41.01,16.95,116272.75,482141.25
2024-03-09,1361467.5,1010727.25,74.24,631695.25,228277.75,46.4,16.77,159836.25,471859.0
2024-03-10,1336175.25,993819.5,74.38,710889.0,135100.75,53.2,10.11,152551.5,558337.5
2024-03-11,1339912.25,748144.25,55.84,447533.5,150435.0,33.4,11.23,125705.5,321828.0
2024-03-12,1175535.0,386271.25,32.86,149985.25,84734.0,12.76,7.21,19310.25,130675.0
2024-03-13,1241971.75,538448.0,43.35,273962.75,111560.25,22.06,8.98,97660.0,176302.75
2024-03-14,1287473.75,717645.25,55.74,393478.5,172493.0,30.56,13.4,128311.75,265166.75
2024-03-15,1351867.75,942232.0,69.7,638523.0,153149.5,47.23,11.33,152455.75,486067.25
2024-03-16,1265229.75,918648.25,72.61,647761.25,120067.25,51.2,9.49,97672.5,550088.75
2024-03-17,979542.0,579233.5,59.13,222251.5,203607.75,22.69,20.79,76586.0,145665.5
2024-03-18,1206421.5,554321.25,45.95,252006.5,148395.25,20.89,12.3,70880.5,181126.0
2024-03-19,1221481.0,547615.5,44.83,180823.0,208684.75,14.8,17.08,70391.75,110431.25
2024-03-20,1177489.0,432321.25,36.72,53845.5,220275.5,4.57,18.71,16754.5,37091.0
2024-03-21,1255500.25,614951.0,48.98,319858.0,139776.5,25.48,11.13,79141.75,240716.25
